DATE,Industrial Grey WF_Semambu Area
2/11/2017,6292.8751
2/12/2017,6418.634
2/13/2017,10482.9244
2/14/2017,10077.0651
2/15/2017,6417.834
2/16/2017,6209.8781
2/17/2017,11009.1803
2/18/2017,6292.8781
2/19/2017,5486.0188
2/20/2017,10216.4289
2/21/2017,6417.834
2/22/2017,11117.6758
2/23/2017,6292.8781
2/24/2017,7323.0188
2/25/2017,6417.534
2/26/2017,11816.0396
2/27/2017,6292.5781
2/28/2017,5486.0188
3/1/2017,5318.5053
3/2/2017,9778.8247
3/3/2017,5318.5053
3/4/2017,6052.7241
3/5/2017,5744.0608
3/6/2017,5428.2909
3/7/2017,8221.7491
3/8/2017,9460.6102
3/9/2017,9044.6059
3/10/2017,5844.2852
3/11/2017,5318.5053
3/12/2017,5319.3053
3/13/2017,9044.5959
3/14/2017,5318.5053
3/15/2017,6578.504
3/16/2017,8934.8303
3/17/2017,5318.5053
3/18/2017,5954.0608
3/19/2017,9375.0491
3/20/2017,5318.4953
3/21/2017,5318.5053
3/22/2017,6688.2796
3/23/2017,9460.6102
3/24/2017,6578.604
3/25/2017,6052.7241
3/26/2017,9000.6059
3/27/2017,5318.5053
3/28/2017,9570.3858
3/29/2017,6578.504
3/30/2017,6162.4997
3/31/2017,5318.5053
4/1/2017,2659.2531
4/2/2017,2659.2531
4/3/2017,5038.09
4/4/2017,3389.7995
4/5/2017,2717.8001
4/6/2017,4587.9596
4/7/2017,4868.3756
4/8/2017,3331.2525
4/9/2017,2659.2531
4/10/2017,2998.2161
4/11/2017,4587.9596
4/12/2017,3050.8365
4/13/2017,2717.8001
4/14/2017,3050.8365
4/15/2017,4868.3756
4/16/2017,2659.2531
4/17/2017,4979.543
4/18/2017,2939.6691
4/19/2017,2717.8001
4/20/2017,4587.9596
4/21/2017,2659.2531
4/22/2017,3331.2525
4/23/2017,5038.09
4/24/2017,2998.2161
4/25/2017,2659.2531
4/26/2017,4868.3756
4/27/2017,3109.3835
4/28/2017,3109.3835
4/29/2017,4868.3756
4/30/2017,2659.2531
5/1/2017,3015.216
5/2/2017,3015.216
5/3/2017,5363.506
5/4/2017,5244.496
5/5/2017,3791.581
5/6/2017,3493.501
5/7/2017,4245.212
5/8/2017,3015.216
5/9/2017,3729.446
5/10/2017,5102.651
5/11/2017,3015.216
5/12/2017,3015.216
5/13/2017,5425.731
5/14/2017,3327.401
5/15/2017,5481.866
5/16/2017,3313.296
5/17/2017,3015.316
5/18/2017,5127.651
5/19/2017,3729.536
5/20/2017,3015.216
5/21/2017,3077.451
5/22/2017,3431.466
5/23/2017,3729.546
5/24/2017,5065.416
5/25/2017,5127.651
5/26/2017,3313.296
5/27/2017,3431.466
5/28/2017,5841.981
5/29/2017,3015.216
5/30/2017,3077.451
5/31/2017,3015.216
6/1/2017,774.7432
6/2/2017,791.8002
6/3/2017,1467.7901
6/4/2017,873.4962
6/5/2017,1450.7331
6/6/2017,1450.7311
6/7/2017,856.4392
6/8/2017,873.4962
6/9/2017,1450.7331
6/10/2017,774.7432
6/11/2017,791.8002
6/12/2017,1336.6497
6/13/2017,970.5226
6/14/2017,774.7432
6/15/2017,873.4962
6/16/2017,1336.6497
6/17/2017,888.8266
6/18/2017,856.4392
6/19/2017,888.8266
6/20/2017,1353.7067
