Date,Industrial Blue WF_Semambu Area
9/16/2016,26238.2500
9/17/2016,41021.9932
9/18/2016,200017.4725
9/19/2016,122128.0037
9/20/2016,242743.1946
9/21/2016,259258.8623
9/22/2016,105742.4997
9/23/2016,64104.3749
9/24/2016,148446.3551
9/25/2016,28174.7756
9/26/2016,212507.1162
9/27/2016,259162.6123
9/28/2016,138183.3373
9/29/2016,41851.6321
9/30/2016,46788.9285
10/1/2016,82267.7401
10/2/2016,72974.6027
10/3/2016,76422.4183
10/4/2016,139599.0446
10/5/2016,68021.4906
10/6/2016,69919.2594
10/7/2016,125098.0993
10/8/2016,54532.4215
10/9/2016,119716.1750
10/10/2016,30099.5782
10/11/2016,60067.0150
10/12/2016,119259.8395
10/13/2016,82198.6682
10/14/2016,54988.4904
10/15/2016,65714.4394
10/16/2016,129427.8711
10/17/2016,8313.8234
10/18/2016,109444.9788
10/19/2016,119109.9243
10/20/2016,29364.2118
10/21/2016,58070.6954
10/22/2016,59880.2951
10/23/2016,62393.0443
10/24/2016,74172.0372
10/25/2016,32333.3841
10/26/2016,71788.5189
10/27/2016,28703.9356
10/28/2016,104774.2169
10/29/2016,92098.2594
10/30/2016,143344.5361
10/31/2016,104272.9852
11/1/2016,28341.5839
11/2/2016,17519.3678
11/3/2016,34377.4163
11/4/2016,106689.4727
11/5/2016,107000.8419
11/6/2016,45238.0271
11/7/2016,77315.5179
11/8/2016,71559.4788
11/9/2016,135834.3333
11/10/2016,65179.3050
11/11/2016,27923.1622
11/12/2016,18413.1997
11/13/2016,131214.5938
11/14/2016,136434.0838
11/15/2016,51343.5595
11/16/2016,97554.6622
11/17/2016,115625.1623
11/18/2016,138522.3133
11/19/2016,18482.9697
11/20/2016,138296.9137
11/21/2016,52355.5574
11/22/2016,60499.0630
11/23/2016,102873.6255
11/24/2016,30413.1860
11/25/2016,48386.8913
11/26/2016,139081.5055
11/27/2016,95995.0451
11/28/2016,64507.9554
11/29/2016,120064.2734
11/30/2016,36738.9327
12/1/2016,112945.1057
12/2/2016,104510.7899
12/3/2016,118457.9451
12/4/2016,10321.5275
12/5/2016,8473.5588
12/6/2016,18189.8143
12/7/2016,108354.7559
12/8/2016,68324.6229
12/9/2016,20964.5151
12/10/2016,45086.4726
12/11/2016,30088.6392
12/12/2016,104316.6632
12/13/2016,73906.8076
12/14/2016,132977.6033
